iter	RMSE
0	0.1297879987
1	0.1270487974
2	0.1242830148
3	0.1216983004
4	0.1191200221
5	0.1166627492
6	0.1143572396
7	0.1121506558
8	0.1098853266
9	0.107825507
10	0.1058293302
11	0.1038353966
12	0.1018879725
13	0.1001015849
14	0.09844577489
15	0.09672233648
16	0.09509951813
17	0.09348289428
18	0.09192081701
19	0.09034001252
20	0.08890454502
21	0.08751235164
22	0.08614506503
23	0.08475881013
24	0.08363510063
25	0.08245469145
26	0.0813279643
27	0.08020584226
28	0.07913075009
29	0.07811201412
30	0.07708568063
31	0.076128629
32	0.07524537985
33	0.07433670483
34	0.07325023456
35	0.07241718174
36	0.07149668944
37	0.07067351631
38	0.06983354039
39	0.06905100154
40	0.06833861817
41	0.06770491431
42	0.06703804523
43	0.06627920564
44	0.06560833872
45	0.06490472239
46	0.06423191593
47	0.06355877938
48	0.06306288581
49	0.06232347226
50	0.06170339026
51	0.06098610326
52	0.0603659639
53	0.05979547149
54	0.0593385521
55	0.05879947905
56	0.05835139178
57	0.05776559705
58	0.05725110634
59	0.05672798946
60	0.05618359085
61	0.0558168938
62	0.05543993896
63	0.0549123309
64	0.05442721354
65	0.05405756147
66	0.05365345117
67	0.05320989412
68	0.0527930277
69	0.05245674737
70	0.05199264235
71	0.05146672746
72	0.05099841052
73	0.05058617685
74	0.05023834422
75	0.04983361657
76	0.04939063587
77	0.04915484146
78	0.04890675557
79	0.04846632832
80	0.04810166193
81	0.04770234956
82	0.0474917154
83	0.04722305288
84	0.04684978643
85	0.04647419225
86	0.04613902864
87	0.04579257042
88	0.04540534863
89	0.04503310582
90	0.0446959941
91	0.04453971993
92	0.04418258041
93	0.04397286028
94	0.04365305063
95	0.04334911195
96	0.04303032532
97	0.04290476784
98	0.04259334977
99	0.04243201703
100	0.04226741691
101	0.04203665626
102	0.04174531535
103	0.04145392302
104	0.04115919908
105	0.0410288851
106	0.04076112765
107	0.04055471734
108	0.04032178017
109	0.04007623943
110	0.03981386443
111	0.03971892954
112	0.03946689617
113	0.0393500635
114	0.03922711595
115	0.03899157102
116	0.03885008374
117	0.03865097631
118	0.03856805343
119	0.03840517426
120	0.03826403998
121	0.03806917612
122	0.03796690806
123	0.03788358546
124	0.03770747649
125	0.03752245304
126	0.0373078733
127	0.03711577162
128	0.03701806488
129	0.03694874662
130	0.03676637682
131	0.03668394875
132	0.03646229603
133	0.03626028365
134	0.03605018101
135	0.03597796046
136	0.03581379311
137	0.03572506707
138	0.03565013169
139	0.03550690711
140	0.03533860584
141	0.03521473061
142	0.03507805138
143	0.0349988176
144	0.03484640733
145	0.03472880611
146	0.03458386011
147	0.03451132862
148	0.03438173127
149	0.03431288126
150	0.03417195778
151	0.0340479452
152	0.03390294921
153	0.0337974267
154	0.03365597061
155	0.03351707944
156	0.03346249266
157	0.03334310216
158	0.03328281924
159	0.03322248948
160	0.03317902381
161	0.0331090685
162	0.03296050566
163	0.03286490181
164	0.03280026251
165	0.03268501129
166	0.03263040968
167	0.03258315287
168	0.03249259829
169	0.03237091018
170	0.03223774518
171	0.03218760735
172	0.03208369784
173	0.03201372586
174	0.03196894844
175	0.03184362659
176	0.03172613132
177	0.03161154731
178	0.03156805241
179	0.03148752239
180	0.03136061369
181	0.03122771891
182	0.03116485592
183	0.03109107405
184	0.03101166634
185	0.03097560943
186	0.03093830859
187	0.03081722421
188	0.03077273066
189	0.0307117178
190	0.03060883027
191	0.03056339554
192	0.03052032631
193	0.03047031631
194	0.03043214927
195	0.03035152389
196	0.03023641467
197	0.03018191343
198	0.03012285445
199	0.03001818309
200	0.02994211153
201	0.02981607218
202	0.02977702994
203	0.02972530901
204	0.02969299706
205	0.02960226414
206	0.02956164947
207	0.02946167663
208	0.02935439913
209	0.02931616518
210	0.02927643793
211	0.0292170296
212	0.02911830655
213	0.02908268589
214	0.02899423606
215	0.0289512303
216	0.02883739572
217	0.02879863446
218	0.028723403
219	0.02864544471
220	0.02858765132
221	0.02854991036
222	0.02850764522
223	0.02848530655
224	0.02838362101
225	0.02827892025
226	0.02817527524
227	0.02811766353
228	0.02805631953
229	0.02794966019
230	0.02788923493
231	0.02783560052
232	0.02779049361
233	0.02775639766
234	0.027682257
235	0.02760874038
236	0.02758268849
