iter	Passed	Remaining
411	3919	53159
412	3930	53165
413	3938	53135
414	3947	53129
415	3956	53113
416	3967	53117
417	3975	53087
418	3986	53101
419	3995	53079
420	4004	53071
421	4013	53044
422	4023	53053
423	4031	53023
424	4042	53033
425	4052	53024
426	4063	53031
427	4072	53021
428	4084	53041
429	4092	53014
430	4103	53016
431	4112	53006
432	4122	53003
433	4131	52992
434	4141	52980
435	4150	52967
436	4161	52980
437	4171	52970
438	4181	52965
439	4190	52952
440	4200	52952
441	4210	52945
442	4221	52956
443	4230	52943
444	4240	52935
445	4250	52927
446	4261	52934
447	4269	52906
448	4279	52902
449	4287	52873
450	4295	52856
451	4304	52831
452	4314	52835
453	4322	52808
454	4333	52810
455	4341	52782
456	4352	52796
457	4361	52779
458	4372	52787
459	4381	52773
460	4393	52786
461	4402	52770
462	4411	52760
463	4421	52749
464	4431	52750
465	4440	52735
466	4451	52744
467	4459	52717
468	4470	52721
469	4479	52700
470	4489	52704
471	4499	52698
472	4508	52685
473	4518	52676
474	4528	52670
475	4535	52639
476	4545	52630
477	4553	52607
478	4562	52591
479	4572	52580
480	4582	52580
481	4591	52568
482	4601	52558
483	4610	52539
484	4620	52542
485	4629	52524
486	4639	52520
487	4648	52509
488	4657	52495
489	4667	52481
490	4676	52473
491	4686	52461
492	4696	52465
493	4706	52454
494	4716	52454
495	4725	52438
496	4735	52438
497	4745	52430
498	4755	52422
499	4764	52411
500	4775	52417
501	4784	52405
502	4794	52394
503	4803	52380
504	4813	52371
505	4822	52364
506	4833	52368
507	4842	52351
508	4853	52359
509	4863	52352
510	4874	52356
511	4881	52326
512	4891	52315
513	4900	52302
514	4911	52314
515	4920	52290
516	4930	52287
517	4939	52272
518	4949	52273
519	4958	52258
520	4968	52247
521	4977	52235
522	4988	52245
523	4997	52228
524	5008	52229
525	5017	52216
526	5026	52203
527	5034	52176
528	5044	52174
529	5053	52157
530	5063	52155
531	5071	52128
532	5081	52116
533	5089	52093
534	5099	52095
535	5109	52084
536	5119	52085
537	5128	52069
538	5137	52054
539	5147	52043
540	5157	52041
541	5166	52027
542	5178	52040
543	5187	52025
544	5197	52023
545	5206	52003
546	5217	52009
547	5228	52014
548	5239	52020
549	5247	51993
550	5255	51976
551	5264	51954
552	5275	51959
553	5284	51945
554	5294	51946
555	5303	51931
556	5313	51928
557	5322	51907
558	5333	51914
559	5342	51900
560	5353	51901
561	5363	51895
562	5373	51889
563	5382	51875
564	5391	51863
565	5401	51855
566	5411	51854
567	5420	51840
568	5432	51850
569	5440	51823
570	5450	51822
571	5458	51797
572	5468	51794
573	5478	51784
574	5488	51782
575	5496	51756
576	5507	51763
577	5517	51756
578	5527	51755
579	5536	51741
580	5546	51735
581	5554	51704
582	5564	51701
583	5572	51675
584	5582	51675
585	5590	51651
586	5600	51640
587	5607	51615
588	5618	51614
589	5626	51589
590	5636	51586
591	5645	51574
592	5656	51580
593	5666	51567
594	5676	51561
595	5685	51547
596	5695	51545
597	5704	51534
598	5715	51536
599	5724	51523
600	5735	51524
601	5744	51509
602	5755	51508
603	5764	51494
604	5773	51487
605	5781	51462
606	5791	51457
607	5800	51437
608	5811	51442
609	5819	51424
610	5830	51425
611	5839	51408
612	5849	51406
613	5858	51386
614	5870	51398
615	5878	51382
616	5889	51384
617	5897	51361
618	5908	51360
619	5916	51338
620	5926	51336
621	5936	51324
622	5946	51324
623	5956	51313
624	5966	51313
625	5974	51293
626	5986	51297
627	5996	51292
628	6007	51297
629	6016	51283
630	6027	51289
631	6037	51282
632	6048	51281
